美国道格拉斯飞机公司,DC-1,1933/7/1/,"全金属单翼设计，3 具增压发动机，每具功率不小于 500 马力。双人制驾驶舱，至少可搭载 12 名乘客。还规定了航程不小于 1,738 公里，最大速度不低于 298 公里/小时，巡航速度不低于 235 公里/小时，爬升率 366 米/分，实用升限不低于 3,048 米。",12,莱特旋风SGR-1820-F空冷星形发动机,2,1622
美国道格拉斯飞机公司,DC-2,1934/5/11/,是DC-1的后继型号，也称“改进型”DC-1。基本设计与DC-1类似，有两项大的改动，第一项是将机身加长 0.61 米，全长达到了 18.89 米，第二项改进是增加客舱座椅，可以搭载14名乘客。除此之外，还应用了承力蒙皮结构、襟翼，尾舵和机轮也经过改进。,14,SG-D黄蜂发动机,2,1750
美国道格拉斯飞机公司,DC-3,1935/,该机在DC-2型客机的基础上，机身加大，增加了运载能力，打破了多种客机飞行速度和载货纪录。DC-3装配有2台900马力的柯蒂斯-赖特引擎，大大超过了DC-2型引擎的功率。,28,"Pratt & Whitney R-1830-90C ""Twin Wasp"" 14汽缸 星型引擎（radial engine），每个 1,200 匹（895 千瓦）",2,2600
美国道格拉斯飞机公司,DC-4,1935/,垂直稳定的新的机尾提供了足够的垂直尾翼面积，使飞机起飞只有两个，一方经营发动机关闭，同时还允许这架飞机以适应现有的机库。该翼计划形式接近的DC - 3，以领先的地位，席卷几乎直后缘。这四个引擎都安装有显着的脚趾，特别是对外部。,42,G普拉特惠特尼R - 2180 - S1A1接枝,4,3542
美国道格拉斯飞机公司,DC-5,1940/,这是第一架组合肩翼和三轮起落架的飞机，这种配置在涡轮螺旋桨飞机和军用运输飞机上仍然很常见。设计的早期变化是改变水平尾组以添加15度二面角以提高稳定性。另一个重要的修改是将排气管添加到发动机舱中，这在该系列飞机进入生产后被合并。一个不寻常的“光学技巧”应用于原型的轮廓。垂直稳定器的顶部和发动机舱的轮廓按照飞机的轮廓被涂成更深的颜色，使尾部和发动机看起来有点小，飞机更光滑。,22,Wright GR-1820-F62旋风，900 hp（671 kW）,2,2575
美国道格拉斯飞机公司,DC-6,1946/6/,采用梯形下单翼；机翼上安装4台普-惠Double Wasp活塞发动机；圆形高垂直尾翼连接背鳍，水平尾翼下置。,54,四发活塞螺旋桨,4,3058
美国道格拉斯飞机公司,DC-7,1953/5/18/,DC-7机翼基于具有相同跨度的DC-4机翼;机身比DC-6B长40英寸。四个十八缸Wright R-3350涡轮复合发动机提供动力。,95,莱特R-3350-30W径向活塞发动机,4,8311
美国道格拉斯飞机公司,DC-8-10,1958/5/,基本型。用于美国国内航线，航程5500公里（3055海里），使用普惠JT3C发动机。,106,JT3C-6涡喷发动机,4,7240
美国道格拉斯飞机公司,DC-9-50,1965/2/25/,选用推力更大的JT8D-17发动机，最大航程3325Km，DC-9-50型是DC-9系列的载客量最大型号，可载客139人。总产量96架。 上述各型均有货运型和客货混合型。,90,JT8D-17发动机,2,3325
美国道格拉斯飞机公司,DC-10,1971/8/5/,主起落架为四轮小车式，向内收入机身，机身中心线处还有一个两轮式主起落架，向前收入机身。全部采用油－气减震器。装有独立的盘式刹车系统和防滑系统。动力装置　3台风扇发动机，带反推力装置。每侧机翼下各挂一台，垂直尾翼根部装一台。发动机进气口装有吸音壁板。设计巡航速度M0.82～0.85。,380,GE CF6-6D、 GE CF6-50C、 PW JT9D-59A,3,10010
空中客车公司,A320,1988/4/,在设计中采取“以新制胜”的方针，采用先进的设计和生产技术以及新的结构材料和先进的数字式机载电子设备。,150,CFM56发动机,2,6200
空中客车公司,A321,1990/,空客A321是A320系列飞机中体积最大的成员是所有单通道飞机中座-英里成本最佳的机型其效率甚至同宽体客机一样高，从而为盈利性带来了新的尺度是世界上最易盈利的单通道飞机系列与A320相比，A321的机身加长了6.94米，机翼前加长4.27米，机翼后加长2.67米。机翼上方应急出口移至机身加长段上，从而增加了两个应急出口。改进了襟翼、起落架，安装了改进的低速操纵系统。增加了空调系统、增压系统以及货舱灭火系统等。,200,涡扇发动机,2,5600
空中客车公司,A330,1992/11/,一个基本的机身有相同的机体横截面，以2台或4台发动机作为动力装置，可以提供6种不同的构型覆盖从250座至475座从地区航线到超远程航线，提高通用性。,253,PW4164 ,4,13450
空中客车公司,A350,2005/10/,A350有60%的结构采用多种先进的、经过技术验证的轻质混合材料制造，如最新的铝锂合金和碳纤维修增强塑料（CFRP）。,270,Trent XWB,4,15400
空中客车公司,A380,2005/4/27/,A380的座位面积比直接竞争机型大三分之一左右，并且有更多的地板面积。A380将提供舒适度，座椅和通道更加宽大，拥有宽阔的空间让乘客伸展腿部，并可享用底层设施。,555,Trent 900,4,15700
美国波音公司,波音737,1964/,发动机短舱安装在35%半翼展处，发动机短舱虽离地很近，但根据起落时对前轮扬起物的流线分析，外来物不易进入发动机进气口。机身采用铝合金半硬壳式结构。,118,涡轮喷气发动机,2,5926
美国波音公司,波音747,1970/,波音747的机翼采用悬臂式下单翼，翼根部相对厚度13.44%，外翼8%，1/4弦线后掠角37°30′。铝合金双梁破损安全结构。外侧低速副翼、内侧高速副翼，三缝后缘襟翼，每侧机翼上表面有铝质蜂窝结构扰流片，每侧机翼前缘有前缘襟翼，机翼前缘靠翼根处有3段克鲁格襟翼。尾翼为悬臂式铝合金双路传力破损安全结构，全动水平尾翼。动力装置4台涡轮风扇喷气式发动机。由发动机带动4 台交流发电机为飞机供电，辅助动力装置带发电机。4套独立液压系统，还有一备用交流电液压泵。起落架为五支柱液压收放起落架。两轮前起落架向前收起，4个四轮小车式主起落架：两个并列在机身下靠机翼前缘处，另两个装在机翼根部下面。[9]波音747机身是普通半硬壳式结构。由铝合金蒙皮、纵向加强件和圆形隔框组成。破损安全结构采用铆接、螺接和胶接工艺。波音747采用两层客舱的布局方案，驾驶室置于上层前方，之后是较短的上层客舱。驾驶舱带两个观察员座椅。公务舱在上层客舱，头等舱在主客舱前部，中部可设公务舱，经济舱在后部。客舱地板下货舱：前舱可容纳货盘或LD-1集装箱；后舱可容纳LD-1集装箱和散装货物。,366,PW?JT9D-7A、GE CF6-45A2、RR RB211-524B2,4,9800
美国波音公司,波音707,1954/7/15/,采用后掠下单翼；后掠垂直尾翼顶端装有天线，水平尾翼靠下安装。,174,JT3D-7涡扇发动机,4,6700
美国波音公司,波音777,1994/6/12/,波音777采用圆形机身设计，起落架共有14个轮胎，是美国波音公司研制的双发中远程宽体客机。,368,PW4000系列发动机、GE90系列发动机、遄达800（Trent 800）系列发动机,3,9695
美国波音公司,波音787,2009/12/15/,波音787的最大特点是大量采用先进复合材料建造飞机骨架、超低燃料消耗、较低的污染排放、高效益及舒适的客舱环境。,242,GEnx 或Trent 1000,2,13620
图波列夫航空科学技术联合体,图-154,1968/10/14/,图-154结构稳固，推进力-重量比（推重比）较好，起飞表现良好，能从凹凸不平的跑道上起飞，拥有14个大型低压轮胎使其能于积雪而未平整的跑道上降落。,150,库兹涅佐夫NK-8-2涡轮风扇发动机,3,6500
图波列夫航空科学技术联合体,图-144,1968/12/13/,"图-144原型机采用了与英法合搞的“协和”号超音速运输机非常相近的气动布局。图-144采用了狭长三角形机翼和无尾的布局,4台发动机和翼下进气道,机翼大部分无扭转。",140,库兹涅佐夫设计局设计的双转子加力涡轮风扇发动机,4,6500
图波列夫航空科学技术联合体,图-204,1989/1/,图-204在设计上大量采用复合材料，占飞机总重的18%，装备数字电传操作系统和先进的电子飞行仪表。,190,PS-90AT发动机,2,2500
